Time (s),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
0.009999999776482582,-0.008915320970118046,0,0,0
0.019999999552965164,-0.008914351463317871,0,0,0
0.029999999329447746,-0.006661009509116411,0,0,0
0.03999999910593033,-0.004410094115883112,0,0,0
0.05000000074505806,-0.0021557840518653393,0,0,0
0.05999999865889549,0.00009416262764716521,0,0,0
0.07000000029802322,0.0015889543574303389,0,0,0
0.07999999821186066,0.000095132585556712,0,0,0
0.09000000357627869,0.0015923490282148123,0,0,0
0.10000000149011612,0.0015971983084455132,0,0,0
0.10999999940395355,0.0030934447422623634,0,0,0
0.11999999731779099,0.0038437501061707735,0,0,0
0.12999999523162842,0.003099748631939292,0,0,0
0.14000000059604645,0.004594540223479271,0,0,0
0.15000000596046448,0.0045945411548018456,0,0,0
0.1599999964237213,0.0045945411548018456,0,0,0
0.17000000178813934,0.0053530908189713955,0,0,0
0.18000000715255737,0.004577568732202053,0,0,0
0.1899999976158142,0.0030934447422623634,0,0,0
0.20000000298023224,0.0030934445094317198,0,0,0
0.20999999344348907,0.0030934445094317198,0,0,0
0.2199999988079071,0.0031041130423545837,0,0,0
0.23000000417232513,0.004594540689140558,0,0,0
0.23999999463558197,0.004594540689140558,0,0,0
0.25,0.004594540689140558,0,0,0
0.25999999046325684,0.004581932909786701,0,0,0
0.27000001072883606,0.0030934447422623634,0,0,0
0.2800000011920929,0.0030934447422623634,0,0,0
0.28999999165534973,0.0030934445094317198,0,0,0
0.30000001192092896,0.0030934445094317198,0,0,0
0.3100000023841858,0.0030934447422623634,0,0,0
0.3199999928474426,0.0030934447422623634,0,0,0
0.33000001311302185,0.0030934447422623634,0,0,0
0.3400000035762787,0.0030769570730626583,0,0,0
0.3499999940395355,0.0015923487953841686,0,0,0
0.36000001430511475,0.0015748913865536451,0,0,0
0.3700000047683716,0.00009125310316449031,0,0,0
0.3799999952316284,0.00009125316137215123,0,0,0
0.38999998569488525,0.0008604707545600832,0,0,0
0.4000000059604645,0.0023620515130460262,0,0,0
0.4099999964237213,0.003863632446154952,0,0,0
0.41999998688697815,0.0038238682318478823,0,0,0
0.4300000071525574,0.0023222872987389565,0,0,0
0.4399999976158142,0.0008207065984606743,0,0,0
0.44999998807907104,0.00009125316137215123,0,0,0
0.46000000834465027,0.00011355976312188432,0,0,0
0.4699999988079071,0.001615140587091446,0,0,0
0.47999998927116394,0.003116721287369728,0,0,0
0.49000000953674316,0.004594540689140558,0,0,0
0.5,0.004594540689140558,0,0,0
0.5099999904632568,0.004594540689140558,0,0,0
0.5199999809265137,0.0038190188352018595,0,0,0
0.5299999713897705,0.0030934447422623634,0,0,0
0.5400000214576721,0.0030672587454319,0,0,0
0.550000011920929,0.0015656776959076524,0,0,0
0.5600000023841858,-0.0006590523989871144,0,0,0
0.5699999928474426,0.00009125313226832077,0,0,0
0.5799999833106995,0.00009125315409619361,0,0,0
0.5899999737739563,0.00009125300130108371,0,0,0
0.6000000238418579,0.0008997498662211001,0,0,0
0.6100000143051147,0.0030934447422623634,0,0,0
0.6200000047683716,0.0030934447422623634,0,0,0
