Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),Fᵧ (N)
0.004999999888241291,-0.002814210020005703,-9.824126243591309,0.0583566315472126,-1.9806909561157227
0.009999999776482582,-0.003111898200586438,-9.815872192382812,0.0622563511133194,-1.9774101972579956
0.014999999664723873,0.004037627950310707,-9.814269065856934,0.06841375678777695,-1.9777909517288208
0.019999999552965164,-0.003780180588364601,-9.820926666259766,0.0650409460067749,-1.9781665802001953
0.02500000037252903,-0.002975118812173605,-9.815910339355469,0.06203441321849823,-1.9773818254470825
0.029999999329447746,0.008472375571727753,-9.76061725616455,0.04807944595813751,-1.9702675342559814
0.03500000014901161,0.016590259969234467,-9.672568321228027,-0.002227143384516239,-1.9598510265350342
0.03999999910593033,0.02517326921224594,-9.609804153442383,-0.0390731506049633,-1.9550539255142212
0.04500000178813934,0.02513567917048931,-9.607998847961426,-0.042423974722623825,-1.9547101259231567
0.05000000074505806,0.029194412752985954,-9.606245040893555,-0.05410240218043327,-1.9558120965957642
0.054999999701976776,0.030978631228208542,-9.606123924255371,-0.0523001067340374,-1.9561840295791626
0.05999999865889549,0.029674982652068138,-9.599692344665527,-0.04090653359889984,-1.9546535015106201
0.06499999761581421,0.02661493606865406,-9.589276313781738,-0.037102073431015015,-1.9516702890396118
0.07000000029802322,0.02522255666553974,-9.595014572143555,-0.03136160969734192,-1.9498279094696045
0.07500000298023224,0.013569737784564495,-9.605717658996582,-0.019121957942843437,-1.948362946510315
0.07999999821186066,0.0011314257280901074,-9.61632251739502,-0.00024681768263690174,-1.947218656539917
0.08500000089406967,-0.004831905476748943,-9.616573333740234,0.007946480065584183,-1.9464712142944336
0.09000000357627869,-0.010094276629388332,-9.62409782409668,0.014090212993323803,-1.9461276531219482
0.0949999988079071,-0.0092095285654068,-9.631732940673828,0.02745448611676693,-1.944233775138855
0.10000000149011612,-0.005767452530562878,-9.631525039672852,0.043477363884449005,-1.9431140422821045
0.10499999672174454,-0.003887688973918557,-9.630899429321289,0.04834592714905739,-1.9427757263183594
0.10999999940395355,-0.014715573750436306,-9.646129608154297,0.06093177944421768,-1.9415819644927979
