Time (s),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
16.479999542236328,-4.2862396240234375,0.2880367636680603,0.011120088398456573,8.278422947149977e-10
16.489999771118164,-4.286337375640869,0.2881479561328888,0.011120088398456573,1.1026314306050722e-9
16.5,-4.287038803100586,0.2882591784000397,0.011120088398456573,5.5385507291561e-10
16.510000228881836,-4.2878899574279785,0.28837037086486816,0.011120088398456573,-2.207935834164232e-9
16.520000457763672,-4.2900919914245605,0.28848159313201904,0.011120088398456573,-0.01691395789384842
16.530000686645508,-4.292344093322754,0.28859278559684753,0.011120088398456573,-0.06415052711963654
16.540000915527344,-4.29304313659668,0.2887040078639984,0.011120088398456573,-0.10125341266393661
16.549999237060547,-4.2929911613464355,0.2888152003288269,0.011120088398456573,-0.1452590972185135
16.559999465942383,-4.291542053222656,0.2889263927936554,0.011120088398456573,-0.2093067169189453
16.56999969482422,-4.2923455238342285,0.289000004529953,0.007357139606028795,-0.25308698415756226
16.579999923706055,-4.29304313659668,0.289000004529953,0,-0.2765999138355255
16.59000015258789,-4.29304313659668,0.289000004529953,0,-0.2798454761505127
16.600000381469727,-4.29304313659668,0.28896212577819824,-0.003789878450334072,-0.2628237307071686
16.610000610351562,-4.292988300323486,0.28885093331336975,-0.011120088398456573,-0.22553463280200958
16.6200008392334,-4.290736198425293,0.28873971104621887,-0.011120088398456573,-0.18530049920082092
16.6299991607666,-4.290040969848633,0.2886285185813904,-0.011120088398456573,-0.1754673719406128
16.639999389648438,-4.289984226226807,0.2885173261165619,-0.011120088398456573,-0.1786312758922577
16.649999618530273,-4.287674903869629,0.2884061336517334,-0.011120088398456573,-0.1615278571844101
16.65999984741211,-4.284729480743408,0.2882949709892273,-0.011120088398456573,-0.14513985812664032
16.670000076293945,-4.283170223236084,0.2881452441215515,-0.014972802251577377,-0.16928653419017792
16.68000030517578,-4.280167102813721,0.28792279958724976,-0.022240176796913147,-0.21288713812828064
16.690000534057617,-4.27797269821167,0.2877004146575928,-0.022240176796913147,-0.2538285553455353
16.700000762939453,-4.275661945343018,0.2874780297279358,-0.022240176796913147,-0.3039921820163727
16.709999084472656,-4.273468494415283,0.2872556149959564,-0.022240176796913147,-0.3060649633407593
16.719999313354492,-4.2711567878723145,0.2869942784309387,-0.02613777294754982,-0.24834519624710083
16.729999542236328,-4.268092155456543,0.28666067123413086,-0.03336026519536972,-0.19168385863304138
16.739999771118164,-4.263648509979248,0.28628796339035034,-0.03727581351995468,-0.1577448695898056
16.75,-4.2613959312438965,0.285843163728714,-0.044480353593826294,-0.13152538239955902
16.760000228881836,-4.25764274597168,0.28543761372566223,-0.040546853095293045,-0.10647378861904144
16.770000457763672,-4.254639148712158,0.28510403633117676,-0.03336026519536972,-0.03200829029083252
16.780000686645508,-4.252449989318848,0.2847704291343689,-0.03336026519536972,0.03102007508277893
16.790000915527344,-4.250070571899414,0.2844368517398834,-0.03336026519536972,0.06139658764004707
16.799999237060547,-4.245630264282227,0.28406357765197754,-0.037329673767089844,0.07010429352521896
16.809999465942383,-4.242562294006348,0.28365853428840637,-0.040501970797777176,0.018009968101978302
16.81999969482422,-4.238122940063477,0.2833249270915985,-0.03336026519536972,-0.033213745802640915
16.829999923706055,-4.235936164855957,0.28299131989479065,-0.03336026519536972,-0.012962736189365387
16.84000015258789,-4.233617305755615,0.2826577126979828,-0.03336026519536972,0.025508955121040344
16.850000381469727,-4.230614185333252,0.2823241055011749,-0.03336026519536972,0.0927351862192154
16.860000610351562,-4.228360652923584,0.28195029497146606,-0.03738353028893471,0.12786491215229034
16.8700008392334,-4.223721504211426,0.2815457582473755,-0.040448110550642014,0.13241396844387054
16.8799991607666,-4.218602657318115,0.2812122106552124,-0.03336026519536972,0.15911367535591125
16.889999389648438,-4.215599536895752,0.28091907501220703,-0.029310068115592003,0.17567971348762512
16.899999618530273,-4.212596416473389,0.28069666028022766,-0.022240176796913147,0.2005777508020401
16.90999984741211,-4.209593296051025,0.2804742455482483,-0.022240176796913147,0.22529613971710205
16.920000076293945,-4.206590175628662,0.2802518308162689,-0.022240176796913147,0.1790788322687149
16.93000030517578,-4.203586578369141,0.28002944588661194,-0.022240176796913147,0.10281985253095627
16.940000534057617,-4.200583457946777,0.27980703115463257,-0.022240176796913147,0.048466525971889496
16.950000762939453,-4.197651386260986,0.27962565422058105,-0.018136121332645416,-0.012286507524549961
16.959999084472656,-4.196077823638916,0.27947336435317993,-0.015233120881021023,-0.05058669298887253
16.969999313354492,-4.193075180053711,0.27925094962120056,-0.022240176796913147,-0.05058668926358223
16.979999542236328,-4.190072536468506,0.2790285646915436,-0.022240176796913147,-0.05058668553829193
16.989999771118164,-4.187069416046143,0.2788061499595642,-0.022240176796913147,-0.06941989809274673
17,-4.184140205383301,0.27854228019714355,-0.026389114558696747,-0.09739856421947479
17.010000228881836,-4.1834635734558105,0.27825024724006653,-0.029202349483966827,-0.0645752027630806
17.020000457763672,-4.1834635734558105,0.27802783250808716,-0.022240176796913147,-0.012652388773858547
17.030000686645508,-4.183387756347656,0.2778054475784302,-0.022240176796913147,0.007598620839416981
17.040000915527344,-4.181136131286621,0.27754122018814087,-0.026425020769238472,0.027849629521369934
17.049999237060547,-4.1795573234558105,0.2772495150566101,-0.02916644513607025,0.04810063913464546
17.059999465942383,-4.176476955413818,0.2770271301269531,-0.022240176796913147,0.04540878161787987
17.06999969482422,-4.171144962310791,0.27680474519729614,-0.022240176796913147,0.024066653102636337
